URI,HW3 Mementos,Current Mementos,Difference,HW3 File,Current File
https://risd.coursedog.com/,3,10,7,timemap_1.json.gz,timemap_b35fd88de37916f3a18a974f616cf15d.json.gz
https://www.georgetown.edu/,24203,25553,1350,timemap_10.json.gz,timemap_2c5eeb675f676f5cc0c61559daf2bfed.json.gz
https://www.princeton.edu/,52667,59381,6714,timemap_100.json.gz,timemap_4006d6fc37b55083059718adaef0598d.json.gz
https://www.odu.edu/honors/research,80,93,13,timemap_101.json.gz,timemap_de9495de58b66ba57f992f95718c869a.json.gz
https://www.odu.edu/acadaffairs/directory,104,112,8,timemap_102.json.gz,timemap_652525647991e7013e17a5357536e32a.json.gz
https://www.odu.edu/media,36,236,200,timemap_103.json.gz,timemap_2fad1ae8afdebea918c1f78bd2a74e43.json.gz
https://www.odu.edu/library,49,2093,2044,timemap_104.json.gz,timemap_857f6b3e59e52acb2a1effdbe3d6358c.json.gz
https://www.odu.edu/about/visitors/campus-map,29,202,173,timemap_105.json.gz,timemap_63d6877c1e06a3386547c73909c1e13d.json.gz
https://www.odu.edu/al/academics/undergraduate,19,91,72,timemap_106.json.gz,timemap_43de7c898af2ac459b0124392dc0b0ef.json.gz
https://www.odu.edu/housing/application-information/continuing-students,45,56,11,timemap_107.json.gz,timemap_58620e1b69bc5815fd797fc8f629a6a5.json.gz
https://www.odu.edu/sees/social-mobility,23,69,46,timemap_108.json.gz,timemap_60f0cf267dae7866e8e88948621fe584.json.gz
https://www.odu.edu/al/departments,25,115,90,timemap_109.json.gz,timemap_8df0960e2c77f95e18f600133ba23f01.json.gz
https://alumni.risd.edu,448,467,19,timemap_11.json.gz,timemap_13cc95b9791e51b632337080d0d046da.json.gz
https://www.odu.edu/cyber,24,118,94,timemap_110.json.gz,timemap_cd839c513eed469458729fba5e77c565.json.gz
https://www.odu.edu/privacy,32,291,259,timemap_111.json.gz,timemap_ff4c9d2effdf89aec11d3fa729de0c1d.json.gz
https://www.odu.edu/about/accreditation,26,235,209,timemap_112.json.gz,timemap_8fb5c74591a7fa39c93bf4ea624d5163.json.gz
https://www.odu.edu/about/visitors,30,193,163,timemap_113.json.gz,timemap_c1a3bf5e7b7d7240c147d0501c57e0c4.json.gz
https://www.odu.edu/al/resources,21,73,52,timemap_114.json.gz,timemap_816e80be839381b5622f88fa0c8c6292.json.gz
https://www.odu.edu/al/resources/awards,62,66,4,timemap_115.json.gz,timemap_b887d040054102b3e2532221d790d5ae.json.gz
https://www.odu.edu/accessibility,23,140,117,timemap_116.json.gz,timemap_c61557a8180008bbd03185ba83ea2b1f.json.gz
https://www.odu.edu/news,543,553,10,timemap_117.json.gz,timemap_4a6d9738b1df4ebd8617742bf2c2ce81.json.gz
https://www.odu.edu/business,242,259,17,timemap_118.json.gz,timemap_07c514e72fc24e6365173efb3900bf98.json.gz
https://www.odu.edu/success/center,96,103,7,timemap_119.json.gz,timemap_1c8fc434e07665849bf0cf0e47fa2484.json.gz
https://www.ripta.com/31638-2/,3,5,2,timemap_12.json.gz,timemap_635a938c5f2acc068190c81d7386f3f5.json.gz
https://online.odu.edu/,547,595,48,timemap_120.json.gz,timemap_1201dfbb4678715df63998d245f032d3.json.gz
https://www.odu.edu/life/culture/arts/galleries,199,210,11,timemap_121.json.gz,timemap_10598ef28f8ddaccf8abc6130a6d678b.json.gz
https://www.odu.edu/impact/centers,208,212,4,timemap_122.json.gz,timemap_c4ab59d7c3bb23a9b314954f2fe8ce35.json.gz
https://www.odu.edu/set/fsl/facts-figures,31,32,1,timemap_123.json.gz,timemap_660b51e03c327a3fd495a09b17440347.json.gz
https://www.odu.edu/sci,31,296,265,timemap_124.json.gz,timemap_06d81cf259dc054d77ae3682aae09e65.json.gz
https://www.odu.edu/life/support/wgec,79,90,11,timemap_125.json.gz,timemap_e05a5259c4ec4ecc09cb5f0f825e3487.json.gz
https://www.odu.edu/colleges,388,398,10,timemap_126.json.gz,timemap_d6dc73f8c8f9d5da50ba52369cd560fb.json.gz
https://www.odu.edu/al/resources/graduate,64,68,4,timemap_127.json.gz,timemap_93dd6476a389219b8a4dd3629d5fe04e.json.gz
